idbestellungen;kunden_idkunden;DATUM;AUSGELIEFERT
806;26310;2007-05-16;1
808;20179;2007-05-19;1
810;23294;2007-07-02;0
814;24865;2007-06-03;0
818;28312;2007-05-27;0
823;22684;2007-04-03;1
824;22203;2007-07-02;0
826;19080;2007-04-11;1
827;22597;2021-08-02;1
832;23466;2007-04-02;1
834;18580;2007-06-30;0
835;22926;2007-06-22;0
836;21615;2007-05-02;1
843;22006;2007-04-15;1
844;18774;2007-06-03;0
850;28182;2007-05-01;1
855;23148;2007-06-27;0
857;27553;2007-06-08;0
860;24897;2007-07-04;0
864;22210;2007-04-05;1
865;20469;2007-05-28;0
866;21768;2007-05-27;0
868;26325;2007-05-04;1
873;25652;2007-04-06;1
874;27870;2007-04-18;1
875;26410;2007-07-03;0
876;21493;2007-05-17;1
877;24406;2007-04-16;1
888;25456;2007-07-05;0
889;24070;2007-04-04;1
891;22699;2007-06-02;0
893;25608;2007-05-03;1
895;26793;2007-05-19;1
897;26163;2007-06-11;0
898;28434;2007-04-11;1
899;26943;2007-04-07;1
900;19682;2007-06-14;0
906;24148;2007-06-22;0
907;19952;2007-05-06;1
911;21358;2007-05-29;0
912;23644;2007-05-01;1
915;19248;2007-04-17;1
917;19514;2007-06-21;0
919;21327;2007-07-06;0
924;24777;2007-06-10;0
925;22239;2007-05-22;0
928;19252;2007-05-18;1
931;23968;2007-06-14;0
932;24610;2007-04-06;1
934;18346;2007-06-27;0
935;27995;2007-06-15;0
936;18543;2007-06-20;0
938;25844;2007-05-11;1
939;24668;2007-07-03;0
941;23183;2007-06-01;0
942;26654;2007-05-08;1
944;22416;2007-06-01;0
946;27693;2007-05-04;1
948;23428;2007-04-14;1
951;18774;2007-05-16;1
952;18446;2007-06-28;0
954;20972;2007-05-16;1
956;18868;2007-04-21;1
959;20483;2007-06-23;0
964;23775;2007-04-23;1
966;25386;2007-05-24;0
972;22307;2007-05-13;1
977;26542;2007-07-03;0
980;23183;2007-04-20;1
981;26566;2007-06-01;0
982;19237;2007-07-01;0
984;21010;2007-06-11;0
985;26624;2007-04-23;1
992;26251;2007-04-11;1
994;18919;2007-06-15;0
995;23890;2007-05-18;1
996;22483;2007-06-14;0
998;18420;2007-06-25;0
1002;18777;2007-06-22;0
1003;20606;2007-06-09;0
1005;27123;2007-04-12;1
1006;25104;2007-04-05;1
1008;19791;2007-05-13;1
1010;25050;2007-04-22;1
1011;20963;2007-04-27;1
1013;27195;2007-05-09;1
1014;25938;2007-06-05;0
1016;19522;2007-06-27;0
1017;25876;2007-06-21;0
1018;19659;2007-05-06;1
1019;25788;2007-04-02;1
1024;22332;2007-06-28;0
1025;24288;2007-04-25;1
1028;21405;2007-04-15;1
1029;20702;2007-04-26;1
1031;26642;2007-06-18;0
1033;21022;2007-06-16;0
1034;24004;2007-04-20;1
1037;27268;2007-04-23;1
1039;22524;2007-06-01;0
1041;27399;2007-06-26;0
1042;26349;2007-05-20;1
1047;27694;2007-06-11;0
1051;25245;2007-07-02;0
1052;23601;2007-07-05;0
1053;21269;2007-06-24;0
1058;26912;2007-06-20;0
1059;19436;2007-06-22;0
1063;27727;2007-04-19;1
1064;20602;2007-04-23;1
1065;27045;2007-05-13;1
1071;20891;2007-06-05;0
1073;25772;2007-06-14;0
1074;24268;2007-06-22;0
1078;23048;2007-04-20;1
1080;24245;2007-04-11;1
1085;20973;2007-05-03;1
1091;24955;2007-05-23;0
1093;26216;2007-04-20;1
1095;22001;2007-07-09;0
1097;27259;2007-05-02;1
1102;24503;2007-05-23;0
1103;24290;2007-04-11;1
1107;26466;2007-04-23;1
1108;25639;2007-04-03;1
1110;26914;2007-04-26;1
1113;21382;2007-04-23;1
1114;23829;2007-06-12;0
1116;27909;2007-04-27;1
1119;28266;2007-06-29;0
1120;24003;2007-05-30;0
1121;25987;2007-07-04;0
1126;20534;2007-04-25;1
1138;27876;2007-05-25;0
1142;18491;2007-04-23;1
1143;21116;2007-05-19;1
1150;22729;2007-06-14;0
1154;19122;2007-05-07;1
1158;20528;2007-06-21;0
1160;20217;2007-06-11;0
1163;23372;2007-04-20;1
1164;24619;2007-04-22;1
1168;19814;2007-06-13;0
1174;23676;2007-06-09;0
1175;18790;2007-07-07;0
1178;27631;2007-06-23;0
1179;27589;2007-05-03;1
1180;24458;2007-06-20;0
1186;24323;2007-04-05;1
1189;23594;2007-05-02;1
1190;27674;2007-06-23;0
1192;21342;2007-04-04;1
1193;20523;2007-05-09;1
1195;28129;2007-06-10;0
1196;25151;2007-06-27;0
1197;23756;2007-04-05;1
1198;25135;2007-04-28;1
1200;18897;2007-06-24;0
1201;28030;2007-06-01;0
1204;23751;2007-04-21;1
1210;27753;2007-05-16;1
1211;23373;2007-04-26;1
1213;21576;2007-05-21;0
1216;24840;2007-05-04;1
1217;26608;2007-04-24;1
1220;19679;2007-05-11;1
1222;19063;2007-07-05;0
1223;24858;2007-05-13;1
1226;21971;2007-05-10;1
1228;23171;2007-06-23;0
1229;24184;2007-07-08;0
1230;22277;2007-04-12;1
1233;25716;2007-06-10;0
1235;25065;2007-04-21;1
1236;25123;2007-05-27;0
1237;22146;2007-04-27;1
1244;24478;2007-06-25;0
1247;28403;2007-05-23;0
1251;27181;2007-06-05;0
1257;20217;2007-04-06;1
1258;27426;2007-04-21;1
1259;21280;2007-06-23;0
1261;21344;2007-06-12;0
1263;21546;2007-06-03;0
1276;20056;2007-05-10;1
1281;22205;2007-06-27;0
1284;20894;2007-05-31;0
1285;23734;2007-05-16;1
1289;27189;2007-05-27;0
1292;23358;2007-04-07;1
1293;22974;2007-05-19;1
1297;24430;2007-07-01;0
1300;27488;2007-04-19;1
1303;22522;2007-06-24;0
1304;23172;2007-04-21;1
1307;22121;2007-06-01;0
1308;21922;2007-06-12;0
1310;18723;2007-05-22;0
1312;19837;2007-05-20;1
1314;19024;2007-05-29;0
1315;21152;2007-04-07;1
1317;24969;2007-05-31;0
1321;24235;2007-05-23;0
1322;25954;2007-06-01;0
1324;27645;2007-06-03;0
1331;24263;2007-05-19;1
1332;18907;2007-04-22;1
1333;19916;2007-05-18;1
1338;23293;2007-05-02;1
1339;20299;2007-05-01;1
1349;21525;2007-06-17;0
1350;20443;2007-06-08;0
1352;23778;2007-06-28;0
1353;28091;2007-05-12;1
1354;26183;2007-04-08;1
1356;19377;2007-06-29;0
1358;23514;2007-04-23;1
1360;21260;2007-05-01;1
1361;28171;2007-05-03;1
1362;21085;2007-04-13;1
1365;23097;2007-04-05;1
1367;28558;2007-04-03;1
1379;19195;2007-05-02;1
1380;20835;2007-05-29;0
1381;28381;2007-04-05;1
1385;26071;2007-04-02;1
1387;19453;2007-06-19;0
1388;22371;2007-05-11;1
1390;23460;2007-06-24;0
1394;27676;2007-07-09;0
1397;28494;2007-04-24;1
1400;19710;2007-05-02;1
1403;27763;2007-04-08;1
1408;24040;2007-04-30;1
1409;24961;2007-04-20;1
1410;24225;2007-05-03;1
1412;23959;2007-05-31;0
1414;25070;2007-04-03;1
1415;21516;2007-04-27;1
1420;22611;2007-05-16;1
1421;26563;2007-04-23;1
1423;20121;2007-06-25;0
1426;21904;2007-06-09;0
1427;24289;2007-05-28;0
1429;24678;2007-06-14;0
1433;20495;2007-05-11;1
1434;28123;2007-07-09;0
1436;21830;2007-04-21;1
1440;22606;2007-07-04;0
1442;24051;2007-05-22;0
1443;26047;2007-04-23;1
1445;22020;2007-07-09;0
1450;21183;2007-05-31;0
1452;25185;2007-05-09;1
1453;25587;2007-05-19;1
1454;20034;2007-05-28;0
1455;21784;2007-04-11;1
1459;26729;2007-06-22;0
1460;19097;2007-05-09;1
1463;27999;2007-05-26;0
1470;28324;2007-04-08;1
1480;27428;2007-05-21;0
1490;28088;2007-04-18;1
1492;24456;2007-05-10;1
1497;24689;2007-07-05;0
1499;26829;2007-06-16;0
1503;20210;2007-04-27;1
1505;19296;2007-04-29;1
1506;21744;2007-06-26;0
1507;22915;2007-05-28;0
1510;19271;2007-05-09;1
1511;27457;2007-04-03;1
1514;27938;2007-05-03;1
1516;21755;2007-06-01;0
1518;24503;2007-05-12;1
1521;27321;2007-04-30;1
1523;27131;2007-04-03;1
1524;18570;2007-04-30;1
1525;21562;2007-06-25;0
1528;20327;2007-04-17;1
1529;26693;2007-06-05;0
1530;27412;2007-07-08;0
1532;24361;2007-05-20;1
1535;20716;2007-07-02;0
1537;23124;2007-06-02;0
1538;25955;2007-05-03;1
1546;25843;2007-04-13;1
1547;23314;2007-05-02;1
1550;21675;2007-06-24;0
1554;21674;2007-04-30;1
1568;19275;2007-06-14;0
1571;27268;2007-07-09;0
1574;20700;2007-06-13;0
1576;22839;2007-06-01;0
1580;24356;2007-06-13;0
1585;18954;2007-05-09;1
1591;27214;2007-05-23;0
1592;21485;2007-06-05;0
1594;28248;2007-05-22;0
1597;18436;2007-07-05;0
1600;26173;2007-06-02;0
1601;23608;2007-04-17;1
1603;25112;2007-04-09;1
1605;23044;2007-06-24;0
1612;24382;2007-05-29;0
1619;22668;2007-04-22;1
1624;18852;2007-06-08;0
1627;19957;2007-06-01;0
1629;19685;2007-04-26;1
1634;20404;2007-05-23;0
1644;18481;2007-04-23;1
1645;27602;2007-06-02;0
1648;23212;2007-05-10;1
1649;26413;2007-06-18;0
1650;21908;2007-04-11;1
1654;24999;2007-05-19;1
1659;26220;2007-04-28;1
1663;23972;2007-06-22;0
1668;20571;2007-05-02;1
1670;23119;2007-06-07;0
1671;27706;2007-07-06;0
1672;25941;2007-06-26;0
1673;27694;2007-07-04;0
1678;26358;2007-05-25;0
1679;19888;2007-04-08;1
1681;25274;2007-05-23;0
1682;25382;2007-04-23;1
1684;26415;2007-04-17;1
1686;24271;2007-06-02;0
1687;28261;2007-07-06;0
1690;22368;2007-05-25;0
1691;19516;2007-04-26;1
1693;18905;2007-04-09;1
1694;21987;2007-05-17;1
1700;19506;2007-07-05;0
1705;22839;2007-04-15;1
1710;28160;2007-05-30;0
1711;28486;2007-06-17;0
1712;18754;2007-04-27;1
1714;25686;2007-06-03;0
1715;20625;2007-07-08;0
1717;19462;2007-06-09;0
1718;26194;2007-06-07;0
1724;23353;2007-07-09;0
1726;25290;2007-07-03;0
1737;19253;2007-05-07;1
1740;27147;2007-05-10;1
1742;26383;2007-06-23;0
1745;22519;2007-06-16;0
1748;21857;2007-05-16;1
1751;21827;2007-05-27;0
1754;25097;2007-06-05;0
1759;28329;2007-06-08;0
1760;26186;2007-04-21;1
1761;24902;2007-06-26;0
1763;22878;2007-06-15;0
1765;22891;2007-04-20;1
1766;28286;2007-07-08;0
1771;26053;2007-05-03;1
1773;22618;2007-06-05;0
1775;27273;2007-07-04;0
1777;27736;2007-04-06;1
1784;23497;2007-04-10;1
1786;24539;2007-04-28;1
1787;22506;2007-06-08;0
1788;20246;2007-06-16;0
1800;22870;2007-06-17;0
1801;27351;2007-04-15;1
1809;26461;2007-06-11;0
1814;25488;2007-04-26;1
1817;28300;2007-05-29;0
1818;28019;2007-06-07;0
1819;19875;2007-07-02;0
1820;26990;2007-07-02;0
1823;25276;2007-05-09;1
1827;25822;2007-04-10;1
1829;28521;2007-05-16;1
1832;25964;2007-05-25;0
1840;26866;2007-05-09;1
1842;18305;2007-05-25;0
1843;22422;2007-04-06;1
1847;25895;2007-06-25;0
1850;19799;2007-07-09;0
1858;27850;2007-04-19;1
1860;25786;2007-04-15;1
1862;27436;2007-06-04;0
1865;21720;2007-06-02;0
1869;21360;2007-07-04;0
1873;19886;2007-05-26;0
1874;21646;2007-05-26;0
1879;21726;2007-06-13;0
1881;20957;2007-07-07;0
1883;27502;2007-07-07;0
1888;28528;2007-05-23;0
1899;24600;2007-06-22;0
1902;21915;2007-06-07;0
1903;21721;2007-04-28;1
1906;26772;2007-04-29;1
1909;27356;2007-06-28;0
1912;25823;2007-04-16;1
1914;26533;2007-05-09;1
1917;28571;2007-06-06;0
1918;24234;2007-04-26;1
1920;18621;2007-04-26;1
1934;19810;2007-06-02;0
1935;24377;2007-05-22;0
1936;27680;2007-05-01;1
1937;18296;2007-05-31;0
1938;18889;2007-04-29;1
1939;24551;2007-04-15;1
1941;18862;2007-05-22;0
1942;26542;2007-07-01;0
1947;27394;2007-04-22;1
1952;18390;2007-05-30;0
1956;27701;2007-05-04;1
1961;21960;2007-04-13;1
1964;19869;2007-06-29;0
1965;27489;2007-06-19;0
1966;24919;2007-05-06;1
1973;28320;2007-04-13;1
1974;24844;2007-06-01;0
1975;28396;2007-06-13;0
1978;25935;2007-07-03;0
1979;18542;2007-05-20;1
1982;23402;2007-06-04;0
1985;25707;2007-05-22;0
1987;23834;2007-05-05;1
1990;25314;2007-04-19;1
1991;20234;2007-06-22;0
1997;19961;2007-07-06;0
1999;18320;2007-05-18;1
2000;19319;2007-06-27;0
2001;20309;2007-05-23;0
2005;19427;2007-07-01;0
2007;18707;2007-05-19;1
2010;28302;2007-07-04;0
2013;26311;2007-04-08;1
2016;27196;2007-05-18;1
2019;22800;2007-05-09;1
2023;25617;2007-06-18;0
2027;21982;2007-05-03;1
2034;27860;2007-06-02;0
2036;19551;2007-05-15;1
2040;24971;2007-05-12;1
2041;22305;2007-06-24;0
2043;28068;2007-06-11;0
2044;18308;2007-04-12;1
2052;18408;2007-06-15;0
2064;21350;2007-05-03;1
2068;27088;2007-05-16;1
2069;22461;2007-06-30;0
2072;27487;2007-06-17;0
2074;26467;2007-07-06;0
2075;21448;2007-06-02;0
2076;18459;2007-05-12;1
2079;22772;2007-04-11;1
2084;23287;2007-05-22;0
2085;28485;2007-06-26;0
2086;21080;2007-06-30;0
2090;25398;2007-05-06;1
2103;20163;2007-06-25;0
2104;18720;2007-05-03;1
2110;28413;2007-05-17;1
2115;26376;2007-04-06;1
2116;28033;2007-04-23;1
2117;24923;2007-04-28;1
2119;21503;2007-05-16;1
2120;25010;2007-05-09;1
2121;22159;2007-07-01;0
2122;26761;2007-06-02;0
2124;25701;2007-05-26;0
2126;27221;2007-05-14;1
2134;21600;2007-04-07;1
2135;25193;2007-05-26;0
2139;19154;2007-04-19;1
2141;18622;2007-05-29;0
2142;27342;2007-04-26;1
2143;22652;2007-04-08;1
2145;22742;2007-04-09;1
2146;24572;2007-07-05;0
2151;21778;2007-05-09;1
2158;23099;2007-05-02;1
2162;23004;2007-04-24;1
2165;19116;2007-04-27;1
2170;23692;2007-04-13;1
2176;23454;2007-06-06;0
2181;22396;2007-04-23;1
2183;26607;2007-06-23;0
2184;19342;2007-06-30;0
2192;22009;2007-05-11;1
2196;24255;2007-05-06;1
2197;18281;2007-04-19;1
2199;19373;2007-04-06;1
2200;22481;2007-04-19;1
2201;21250;2007-04-13;1
2203;21250;2007-04-13;1
2205;24192;2007-07-06;0
2208;18859;2007-07-02;0
2210;28091;2007-06-07;0
2211;23570;2007-04-23;1
2212;21621;2007-07-08;0
2223;24999;2007-04-12;1
2225;25173;2007-05-10;1
2227;27322;2007-05-05;1
2229;20293;2007-05-12;1
2230;26879;2007-04-13;1
2231;25766;2007-05-25;0
2233;19422;2007-05-30;0
2237;19296;2007-05-29;0
2238;21757;2007-06-01;0
2246;25093;2007-06-15;0
2250;23412;2007-07-06;0
2257;22916;2007-04-16;1
2259;19672;2007-05-29;0
2260;22256;2007-07-06;0
2263;27203;2007-05-23;0
2268;20763;2007-04-11;1
2269;25136;2007-04-07;1
2270;25169;2007-04-18;1
2271;21810;2007-04-24;1
2275;27876;2007-06-25;0
2278;21965;2007-05-25;0
2282;25905;2007-04-22;1
2284;25519;2007-05-15;1
2286;18285;2007-04-07;1
2291;21907;2007-06-13;0
2298;25470;2007-06-27;0
2301;22895;2007-05-08;1
2307;27185;2007-06-19;0
2314;19592;2007-07-05;0
2315;21281;2007-05-21;0
2319;20846;2007-05-10;1
2321;19945;2007-06-23;0
2329;26717;2007-04-17;1
2330;27554;2007-06-14;0
2333;21258;2007-04-11;1
2336;20778;2007-04-04;1
2337;20987;2007-04-15;1
2338;25025;2007-04-13;1
2339;23916;2007-06-10;0
2341;19737;2007-04-28;1
2342;26207;2007-05-06;1
2346;20957;2007-04-14;1
2350;26734;2007-07-04;0
2351;25709;2007-05-30;0
2357;21762;2007-05-11;1
2358;19083;2007-06-01;0
2360;20532;2007-06-26;0
2361;23570;2007-04-21;1
2362;26995;2007-06-09;0
2363;19305;2007-05-27;0
2365;23956;2007-05-15;1
2366;27113;2007-05-31;0
2368;25372;2007-05-06;1
2371;25082;2007-04-29;1
2375;21578;2007-06-20;0
2376;22376;2007-05-20;1
2381;27354;2007-06-20;0
2382;24637;2007-07-03;0
2384;28621;2007-04-23;1
2389;22612;2007-06-14;0
2390;25409;2007-04-30;1
2391;27654;2007-06-03;0
2393;20171;2007-06-18;0
2395;18608;2007-05-18;1
2396;21380;2007-05-29;0
2403;25999;2007-05-09;1
2406;18848;2007-04-21;1
2407;22466;2007-04-02;1
2408;25957;2007-06-16;0
2409;23727;2007-05-28;0
2414;22549;2007-04-05;1
2415;21815;2007-04-08;1
2416;27571;2007-04-27;1
2418;19321;2007-05-05;1
2421;26905;2007-06-27;0
2426;23179;2007-06-15;0
2432;19153;2007-06-27;0
2434;26877;2007-05-26;0
2435;26954;2007-06-09;0
2437;27276;2007-05-26;0
2438;25771;2007-05-09;1
2439;26970;2007-05-26;0
2447;18576;2007-06-01;0
2448;26260;2007-06-14;0
2450;19675;2007-04-23;1
2454;18865;2007-05-05;1
2462;19445;2007-05-18;1
2464;23529;2007-05-06;1
2466;18495;2007-07-06;0
2469;24232;2007-05-05;1
2473;20988;2007-06-19;0
2474;19433;2007-06-28;0
2476;24017;2007-06-29;0
2477;22878;2007-06-03;0
2478;25450;2007-05-28;0
2483;21451;2007-06-16;0
2484;26299;2007-04-05;1
2485;21720;2007-05-04;1
2486;27891;2007-04-26;1
2492;18275;2007-05-28;0
2494;19861;2007-06-03;0
2496;21313;2007-06-08;0
2497;22904;2007-05-17;1
2500;26543;2007-05-20;1
2505;19380;2007-05-21;0
2506;18621;2007-05-30;0
2507;23869;2007-06-05;0
2517;26631;2007-06-11;0
2522;20622;2007-04-08;1
2523;26098;2007-04-12;1
2533;20692;2007-05-24;0
2535;28343;2007-05-20;1
2536;28391;2007-06-30;0
2538;19961;2007-07-07;0
2542;24392;2007-07-01;0
2550;22302;2007-06-09;0
2551;23320;2007-07-06;0
2555;20104;2007-07-07;0
2556;20385;2007-04-09;1
2558;24501;2007-07-04;0
2559;23013;2007-06-16;0
2562;22741;2007-05-20;1
2564;28402;2007-06-15;0
2567;22629;2007-04-02;1
2571;27411;2007-04-25;1
2574;27347;2007-04-30;1
2575;26553;2007-04-18;1
2577;19902;2007-04-28;1
2578;25066;2007-04-25;1
2580;20197;2007-05-30;0
2582;24480;2007-04-26;1
2585;18530;2007-05-19;1
2587;24106;2007-04-07;1
2591;21001;2007-06-16;0
2592;19815;2007-05-23;0
2593;25586;2007-04-22;1
2594;26835;2007-04-19;1
2595;18585;2007-06-25;0
2597;19408;2007-06-26;0
2600;25683;2007-05-05;1
2601;21565;2007-05-13;1
2605;23529;2007-05-16;1
2613;21760;2007-04-19;1
2620;24949;2007-05-19;1
2623;23123;2007-04-11;1
2624;23009;2007-04-24;1
2631;19914;2007-06-13;0
2632;18947;2007-04-24;1
2635;27270;2007-04-19;1
2636;25266;2007-06-06;0
2638;26447;2007-04-30;1
2639;22762;2007-05-06;1
2647;26692;2007-05-05;1
2648;22770;2007-04-06;1
2649;18901;2007-05-15;1
2651;28225;2007-06-30;0
2653;19721;2007-06-16;0
2654;19240;2007-05-15;1
2673;21844;2007-06-29;0
2677;20429;2007-06-03;0
2678;21318;2007-07-08;0
2687;27864;2007-05-17;1
2688;18912;2007-06-26;0
2689;19559;2007-05-09;1
2693;22235;2007-05-09;1
2695;23590;2007-05-26;0
2698;24694;2007-04-08;1
2700;25939;2007-04-04;1
2703;18588;2007-04-06;1
2711;25015;2007-04-05;1
2713;26030;2007-07-05;0
2716;19976;2007-04-23;1
2718;26480;2007-06-24;0
2719;28500;2007-06-29;0
2723;25143;2007-05-08;1
2724;22357;2007-05-19;1
2725;24350;2007-04-29;1
2726;24509;2007-05-05;1
2727;18924;2007-05-24;0
2731;24844;2007-04-23;1
2732;24373;2007-05-27;0
2735;20393;2007-07-06;0
2736;27552;2007-06-18;0
2737;25639;2007-05-14;1
2746;27237;2007-07-02;0
2748;18372;2007-06-10;0
2751;21377;2007-04-23;1
2753;24831;2007-04-19;1
2756;26060;2007-05-25;0
2758;24868;2007-05-28;0
2761;25418;2007-05-17;1
2762;23855;2007-05-16;1
2763;27327;2007-04-29;1
2764;25647;2007-05-20;1
2771;22974;2007-06-18;0
2773;20142;2007-06-03;0
2774;27158;2007-06-12;0
2775;24064;2007-04-16;1
2776;23450;2007-05-13;1
2777;25096;2007-04-26;1
2778;19466;2007-05-02;1
2780;25751;2007-05-06;1
2787;28179;2007-05-09;1
2788;27023;2007-05-31;0
2790;22971;2007-05-14;1
2793;24742;2007-06-28;0
2801;19261;2007-05-28;0
2802;27703;2007-05-25;0
2804;21599;2007-06-10;0
2808;26310;2007-05-16;1
2810;20179;2007-05-19;1
2812;23294;2007-07-02;0
2816;24865;2007-06-03;0
2820;28312;2007-05-27;0
2825;22684;2007-04-03;1
2826;22203;2007-07-02;0
2828;19080;2007-04-11;1
2829;22597;2007-04-02;1
2834;23466;2007-04-02;1
2836;18580;2007-06-30;0
2837;22926;2007-06-22;0
2838;21615;2007-05-02;1
2845;22006;2007-04-15;1
2846;18774;2007-06-03;0
2852;28182;2007-05-01;1
2857;23148;2007-06-27;0
2859;27553;2007-06-08;0
2862;24897;2007-07-04;0
2866;22210;2007-04-05;1
2867;20469;2007-05-28;0
2868;21768;2007-05-27;0
