idbestellpositionen;bestellungen_idbestellungen;artikel_idartikel;anzahl
3095;1547;1;3
3096;504;1;3
3099;490;1;1
3102;598;1;1
3103;1434;1;3
3107;773;1;2
3109;389;1;2
3117;2068;1;3
3119;1987;1;3
3121;1634;5;3
3126;1714;1;3
3127;1920;1;2
3129;1065;1;2
3130;521;1;2
3133;1200;1;1
3138;1644;5;3
3140;1645;7;2
3141;1518;1;3
3145;1648;5;3
3146;1025;1;3
3147;1085;1;1
3148;1650;5;3
3149;1650;7;3
3150;2007;1;1
3151;257;1;2
3154;1881;1;2
3158;1510;1;1
3160;209;1;1
3173;1180;1;1
3179;1668;5;3
3183;1670;7;2
3188;696;1;1
3194;1150;1;2
3195;1339;1;3
3196;1678;4;2
3197;711;1;1
3201;1975;1;2
3203;1682;5;1
3206;1684;5;2
3207;1029;1;2
3209;2181;1;1
3210;1686;5;3
3215;1991;1;1
3216;1690;5;3
3217;1690;7;1
3219;1093;1;3
3223;1694;5;2
3226;374;1;1
3231;1292;1;2
3232;433;1;3
3233;1700;4;3
3234;1700;7;1
3236;1759;1;1
3239;1436;1;1
3241;1025;1;1
3242;1705;7;2
3243;729;1;1
3250;1710;4;3
3251;1710;7;2
3254;1712;4;2
3255;1436;1;2
3256;1523;1;1
3257;1714;5;3
3259;1715;7;3
3263;2142;1;3
3264;1718;4;2
3272;1042;1;2
3274;1724;5;2
3280;799;1;1
3282;2074;1;3
3283;593;1;1
3286;348;1;3
3287;599;1;3
3294;972;1;2
3299;1367;1;1
3300;2040;1;3
3301;1740;4;3
3302;1740;7;3
3304;981;1;2
3305;1742;5;2
3306;1310;1;3
3309;2121;1;3
3310;1745;7;1
3311;1220;1;3
3314;2010;1;2
3315;1748;5;3
3317;1358;1;1
3320;981;1;1
3321;436;1;3
3323;1629;1;3
3325;1754;5;1
3326;374;1;2
3336;1760;7;3
3337;373;1;2
3343;273;1;2
3344;1765;7;1
3345;1714;1;1
3346;1766;5;3
3347;645;1;3
3354;1624;1;3
3355;1427;1;1
3361;1775;7;1
3362;221;1;1
3376;1784;4;3
3377;1627;1;3
3380;1786;5;2
3385;560;1;2
3388;936;1;1
3392;1982;1;1
3398;374;1;1
3401;1034;1;1
3403;1800;4;3
3404;1800;7;1
3408;1999;1;1
3413;2075;1;1
3415;1429;1;3
3416;1523;1;1
3418;549;1;2
3419;1379;1;3
3422;1310;1;3
3425;746;1;3
3427;1814;4;1
3434;1818;4;1
3435;1216;1;3
3436;305;1;2
3437;1820;5;2
3438;1820;7;3
3442;1700;1;3
3443;1200;1;1
3447;2145;1;1
3457;1724;1;2
3458;1832;5;3
3459;2151;1;3
3462;1367;1;3
3464;2192;1;2
3466;1518;1;2
3471;1840;4;2
3472;1840;7;1
3473;942;1;2
3484;495;1;2
3486;629;1;3
3488;1850;4;1
3489;1850;7;1
3490;1410;1;3
3491;1031;1;2
3494;1525;1;1
3504;2158;1;1
3506;1860;7;1
3508;1400;1;1
3514;1865;7;3
3528;1195;1;3
3530;1233;1;3
3538;356;1;2
3541;611;1;2
3545;2134;1;2
3547;2141;1;1
3549;1423;1;2
3555;2162;1;2
3559;1120;1;1
3562;1388;1;3
3568;1966;1;2
3569;1672;1;3
3572;1073;1;2
3577;1902;5;1
3584;1906;4;1
3588;769;1;1
3592;1909;1;3
3596;621;1;3
3597;1914;5;2
3602;1314;1;2
3604;1918;4;2
3605;675;1;2
3608;1920;7;2
3615;1420;1;1
3620;972;1;2
3622;1538;1;1
3627;1013;1;2
3629;1761;1;3
3631;1934;4;2
3633;1935;7;3
3635;1936;4;3
3637;369;1;1
3639;1143;1;3
3645;1942;4;2
3647;1597;1;3
3651;1529;1;2
3656;201;1;1
3662;1952;5;2
3664;1434;1;1
3669;1956;5;1
3673;1200;1;3
3680;2072;1;1
3684;1965;7;3
3686;1966;4;2
3691;430;1;2
3694;1691;1;3
3695;1091;1;2
3699;1974;4;2
3701;1975;7;2
3705;223;1;2
3706;1978;4;1
3713;1982;5;3
3718;1985;7;1
3719;1003;1;2
3724;868;1;2
3727;1990;7;3
3732;2104;1;2
3736;2146;1;2
3738;1016;1;3
3744;2000;7;2
3748;2139;1;3
3751;482;1;2
3752;2005;7;1
3760;2010;4;1
3761;2010;7;1
3763;1684;1;3
3765;2069;1;2
3766;944;1;3
3771;2016;5;3
3773;1942;1;1
3776;1410;1;2
3779;686;1;2
3799;2145;1;1
3801;2034;4;2
3804;416;1;1
3805;2036;4;1
3806;1705;1;1
3807;1671;1;2
3812;2040;7;3
3813;629;1;2
3816;482;1;2
3817;1259;1;1
3818;2044;5;2
3823;448;1;2
3824;1879;1;1
3826;430;1;3
3831;729;1;2
3832;2052;5;1
3834;1362;1;1
3843;521;1;3
3844;1918;1;1
3857;1019;1;3
3860;1899;1;3
3865;1600;1;2
3866;2072;4;1
3867;548;1;2
3868;313;1;3
3869;2074;5;1
3871;2075;7;3
3872;1760;1;2
3886;2084;4;3
3888;2085;7;2
3889;1939;1;1
3891;941;1;1
3897;2090;7;2
3901;1180;1;3
3906;2181;1;1
3908;1018;1;2
3912;1979;1;3
3916;1222;1;1
3920;2104;4;1
3923;1216;1;2
3925;1529;1;1
3928;1532;1;2
3930;2110;5;2
3931;2110;7;1
3938;1002;1;2
3939;2115;7;2
3940;1827;1;3
3946;467;1;2
3947;2120;4;1
3948;2120;7;1
3951;2122;5;3
3952;2165;1;3
3953;1938;1;2
3954;2124;4;3
3962;1235;1;2
3967;1116;1;1
3973;2135;7;3
3979;1961;1;1
3985;2142;5;2
3987;915;1;2
3989;1204;1;2
3990;2145;7;1
3991;2013;1;3
3992;2146;4;3
3994;556;1;1
4006;931;1;2
4011;1840;1;1
4017;814;1;3
4024;2165;7;2
4025;1442;1;3
4032;2170;4;1
4033;2170;7;1
4034;1168;1;2
4035;1217;1;3
4044;1110;1;2
4045;652;1;2
4047;906;1;2
4048;1470;1;1
4056;2184;4;2
4069;1361;1;2
4070;2192;5;2
4076;1180;1;2
4077;2196;5;1
4079;984;1;1
4081;832;1;1
4083;2200;5;3
4084;2200;7;1
4088;2036;1;2
4089;676;1;3
4092;2205;7;2
4093;843;1;1
4096;1538;1;1
4099;1051;1;2
4100;2210;4;2
4101;2210;7;2
4102;1751;1;1
4104;2212;5;2
4105;1091;1;2
4108;482;1;1
4110;629;1;1
4112;1605;1;3
4119;387;1;3
4125;1649;1;2
4126;2225;7;3
4134;2230;4;2
4135;2230;7;1
4136;1759;1;2
4137;1315;1;3
4140;1308;1;1
4142;1454;1;3
4147;1010;1;1
4148;2238;5;2
4153;806;1;1
4154;917;1;1
4156;1568;1;2
4159;1324;1;3
4162;2246;5;2
4168;2250;5;1
4169;2250;7;1
4170;327;1;3
4171;1211;1;2
4181;691;1;2
4185;2260;4;2
4186;2260;7;2
4193;1051;1;2
4195;1037;1;1
4197;1510;1;2
4199;2268;4;2
4202;2270;4;2
4203;2270;7;1
4205;210;1;2
4207;1965;1;2
4208;1380;1;2
4211;2275;7;2
4212;1546;1;3
4214;1259;1;1
4216;2278;5;2
4223;2282;4;3
4227;2142;1;3
4244;714;1;2
4249;1817;1;1
4250;2298;5;1
4255;1978;1;3
4256;2016;1;2
4263;1010;1;1
4269;1052;1;2
4272;1917;1;2
4277;2314;5;2
4279;2315;7;2
4280;651;1;3
4282;1650;1;3
4283;433;1;1
4285;895;1;1
4292;1568;1;3
4295;2145;1;2
4300;808;1;2
4305;2330;7;2
4306;1514;1;3
4310;1787;1;1
4316;912;1;2
4317;744;1;2
4325;2342;5;2
4326;791;1;3
4329;1063;1;1
4331;931;1;2
4332;2346;5;1
4333;1394;1;2
4337;1314;1;3
4338;2350;4;1
4339;2350;7;3
4340;1324;1;1
4341;687;1;3
4353;2117;1;3
4356;2360;7;3
4357;808;1;1
4359;2362;5;3
4360;982;1;3
4363;1445;1;3
4364;2365;7;3
4366;2366;5;1
4369;2368;4;3
4370;622;1;1
4375;598;1;2
4381;2375;7;3
4383;2376;4;3
4388;760;1;3
4391;1388;1;2
4392;826;1;3
4394;1379;1;2
4395;572;1;3
4396;2384;4;3
4406;2390;4;2
4407;2390;7;3
4409;1574;1;1
4411;284;1;2
4415;2395;7;2
4416;649;1;2
4417;2396;5;3
4422;800;1;3
4426;359;1;1
4428;1263;1;2
4431;994;1;3
4434;2406;5;1
4436;2000;1;1
4442;1506;1;3
4443;1903;1;1
4446;340;1;2
4448;206;1;1
4449;2415;7;1
4451;2416;5;3
4453;1576;1;1
4454;2418;5;2
4459;1711;1;3
4465;1850;1;1
4467;1818;1;2
4469;1592;1;2
4472;590;1;3
4477;1529;1;1
4478;2432;4;2
4479;1705;1;2
4481;2434;4;3
4483;2435;7;1
4486;1997;1;2
4488;2438;5;2
4494;1388;1;1
4504;1397;1;1
4507;810;1;2
4509;2450;7;1
4511;1429;1;1
4514;808;1;1
4516;2019;1;1
4527;2135;1;1
4529;2462;4;3
4531;1080;1;2
4536;2466;5;2
4544;557;1;3
4547;229;1;2
4553;2476;4;2
4555;2135;1;1
4556;2478;4;1
4557;776;1;3
4558;891;1;3
4562;1529;1;1
4564;1936;1;2
4565;1017;1;3
4568;2485;7;1
4569;633;1;2
4570;2486;4;1
4572;1530;1;3
4581;716;1;1
4582;575;1;1
4584;693;1;3
4587;2496;4;3
4588;735;1;3
4593;2500;4;3
4594;2500;7;1
4596;1228;1;2
4599;490;1;2
4602;2505;7;2
4603;592;1;2
4604;2506;5;2
4620;696;1;1
4625;1671;1;2
4629;1119;1;1
4630;1284;1;2
4631;2522;5;3
4632;1645;1;2
4633;1071;1;3
4643;1415;1;1
4646;2139;1;3
4647;1681;1;2
4649;1445;1;2
4652;1594;1;3
4653;2535;7;1
4655;2536;5;2
4656;349;1;2
4666;1505;1;1
4669;1063;1;2
4671;889;1;1
4673;1126;1;2
4676;1042;1;1
4677;917;1;2
4678;2550;5;1
4679;2550;7;2
4681;2115;1;2
4683;248;1;1
4686;1434;1;1
4687;2555;7;1
4689;2556;4;1
4692;2558;5;3
4694;1211;1;3
4698;1580;1;1
4699;2562;5;1
4700;762;1;2
4702;2564;4;1
4703;1525;1;3
4708;575;1;2
4717;1773;1;1
4718;711;1;2
4719;2574;5;3
4720;1051;1;1
4721;2575;7;3
4724;1518;1;1
4726;2578;5;3
4730;2580;7;2
4733;2582;4;3
4737;576;1;2
4738;2585;7;2
4741;1216;1;2
4744;1979;1;2
4745;1528;1;1
4750;2592;5;2
4751;335;1;1
4755;2595;7;3
4756;578;1;3
4758;382;1;2
4763;2600;4;3
4764;2600;7;2
4766;1063;1;2
4772;2605;7;3
4775;2181;1;3
4779;1518;1;1
4783;1991;1;2
4786;560;1;2
4788;1017;1;1
4792;1873;1;1
4795;576;1;2
4796;391;1;2
4797;2620;5;3
4798;2620;7;2
4799;1356;1;1
4802;360;1;2
4804;2624;4;3
4810;1521;1;1
4818;2632;4;2
4819;1158;1;3
4823;2635;7;2
4825;2636;5;2
4826;379;1;3
4836;1711;1;3
4839;1761;1;2
4843;893;1;3
4845;2648;5;2
4847;1450;1;2
4853;209;1;2
4856;540;1;3
4858;1711;1;1
4860;1827;1;3
4861;433;1;2
4868;629;1;2
4870;814;1;3
4884;201;1;2
4890;646;1;3
4894;998;1;2
4897;1742;1;3
4904;2076;1;2
4905;1899;1;2
4914;1668;1;1
4918;772;1;2
4925;2695;7;1
4929;785;1;2
4933;2700;4;3
4934;2700;7;2
4936;282;1;2
4939;771;1;2
4941;934;1;1
4949;580;1;2
4953;775;1;3
4955;995;1;2
4960;348;1;1
4964;2718;5;3
4972;268;1;3
4976;2725;7;3
4977;569;1;2
4980;875;1;3
4982;928;1;3
4988;2732;4;3
4990;1247;1;2
4992;2121;1;3
4993;2735;7;1
4995;2736;4;1
4997;1300;1;3
5000;1518;1;2
5003;223;1;2
5006;998;1;3
5009;629;1;1
5012;2746;5;2
5015;2748;4;1
5017;1310;1;2
5021;1514;1;2
5023;723;1;3
5026;520;1;2
5028;261;1;3
5032;2758;4;1
5034;1204;1;2
5042;2764;4;2
5043;276;1;1
5047;562;1;2
